年度,公司代號,公司名稱,員工人數,薪資中位數_仟元,平均薪資_仟元
107,1336,台翰,11.0,,1071.0
108,1336,台翰,12.0,1045.0,1318.0
109,1336,台翰,11.0,778.0,814.0
110,1336,台翰,12.0,828.0,1306.0
111,1336,台翰,12.0,591.0,760.0
112,1336,台翰,16.0,708.0,934.0
113,1336,台翰,19.0,782.0,1027.0
114,1336,台翰,21.0,907.0,1101.0
107,1471,首利,43.0,,723.0
108,1471,首利,39.0,666.0,728.0
109,1471,首利,29.0,756.0,758.0
110,1471,首利,30.0,762.0,760.0
111,1471,首利,28.0,756.0,764.0
112,1471,首利,26.0,768.0,740.0
113,1471,首利,24.0,818.0,769.0
114,1471,首利,23.0,818.0,771.0
107,1569,濱川,29.0,,590.0
108,1569,濱川,30.0,530.0,639.0
109,1569,濱川,30.0,605.0,653.0
110,1569,濱川,32.0,612.0,656.0
111,1569,濱川,32.0,638.0,692.0
112,1569,濱川,36.0,621.0,658.0
113,1569,濱川,37.0,647.0,700.0
114,1569,濱川,46.0,600.0,669.0
107,1582,信錦,165.0,,1055.0
108,1582,信錦,176.0,852.0,984.0
109,1582,信錦,213.0,797.0,955.0
110,1582,信錦,241.0,803.0,940.0
111,1582,信錦,212.0,869.0,1009.0
112,1582,信錦,203.0,984.0,1091.0
113,1582,信錦,195.0,1107.0,1225.0
114,1582,信錦,172.0,1019.0,1084.0
107,1595,川寶,77.0,,797.0
108,1595,川寶,83.0,603.0,690.0
109,1595,川寶,81.0,548.0,647.0
110,1595,川寶,72.0,759.0,909.0
111,1595,川寶,72.0,597.0,696.0
112,1595,川寶,60.0,599.0,700.0
113,1595,川寶,65.0,644.0,762.0
114,1595,川寶,72.0,671.0,822.0
107,1815,富喬,1014.0,,621.0
108,1815,富喬,1039.0,553.0,623.0
109,1815,富喬,972.0,485.0,553.0
110,1815,富喬,906.0,602.0,692.0
111,1815,富喬,925.0,604.0,658.0
112,1815,富喬,910.0,522.0,596.0
113,1815,富喬,924.0,699.0,727.0
114,1815,富喬,1030.0,710.0,798.0
107,2059,川湖,508.0,,627.0
108,2059,川湖,503.0,500.0,624.0
109,2059,川湖,483.0,509.0,606.0
110,2059,川湖,525.0,678.0,766.0
111,2059,川湖,521.0,703.0,869.0
112,2059,川湖,504.0,498.0,669.0
113,2059,川湖,502.0,729.0,1014.0
114,2059,川湖,507.0,877.0,1241.0
107,2301,光寶科,4315.0,,1290.0
108,2301,光寶科,4252.0,1067.0,1305.0
109,2301,光寶科,3373.0,1169.0,1376.0
110,2301,光寶科,3678.0,1154.0,1434.0
111,2301,光寶科,4395.0,1129.0,1472.0
112,2301,光寶科,4829.0,1130.0,1414.0
113,2301,光寶科,4322.0,1246.0,1489.0
114,2301,光寶科,4726.0,1231.0,1558.0
107,2302,麗正,63.0,,537.0
108,2302,麗正,64.0,382.0,519.0
109,2302,麗正,65.0,523.0,602.0
110,2302,麗正,55.0,464.0,616.0
111,2302,麗正,49.0,497.0,613.0
112,2302,麗正,43.0,557.0,733.0
113,2302,麗正,42.0,534.0,663.0
114,2302,麗正,42.0,544.0,673.0
107,2303,聯電,13829.0,,1208.0
108,2303,聯電,13580.0,971.0,1099.0
109,2303,聯電,12926.0,1071.0,1369.0
110,2303,聯電,12987.0,1150.0,1447.0
111,2303,聯電,12238.0,1656.0,2080.0
112,2303,聯電,12508.0,1577.0,1851.0
113,2303,聯電,12122.0,1611.0,1800.0
114,2303,聯電,11973.0,1590.0,1739.0
107,2305,全友,92.0,,715.0
108,2305,全友,105.0,620.0,662.0
109,2305,全友,89.0,676.0,717.0
110,2305,全友,93.0,663.0,706.0
111,2305,全友,84.0,710.0,717.0
112,2305,全友,71.0,790.0,807.0
113,2305,全友,71.0,802.0,840.0
114,2305,全友,72.0,816.0,857.0
107,2308,台達電,6662.0,,1485.0
108,2308,台達電,8768.0,1153.0,1397.0
109,2308,台達電,9749.0,1215.0,1433.0
110,2308,台達電,9758.0,1293.0,1525.0
111,2308,台達電,10364.0,1422.0,1701.0
112,2308,台達電,11651.0,1466.0,1734.0
113,2308,台達電,12290.0,1543.0,1827.0
114,2308,台達電,13046.0,1665.0,1980.0
107,2313,華通,4418.0,,635.0
108,2313,華通,4172.0,608.0,683.0
109,2313,華通,4130.0,702.0,806.0
110,2313,華通,4270.0,793.0,889.0
111,2313,華通,4379.0,894.0,1004.0
112,2313,華通,4423.0,814.0,912.0
113,2313,華通,4468.0,883.0,979.0
114,2313,華通,4690.0,824.0,933.0
107,2316,楠梓電,1656.0,,507.0
108,2316,楠梓電,1563.0,471.0,507.0
109,2316,楠梓電,1411.0,475.0,509.0
110,2316,楠梓電,1290.0,527.0,552.0
111,2316,楠梓電,1264.0,491.0,534.0
112,2316,楠梓電,1094.0,450.0,495.0
113,2316,楠梓電,1074.0,508.0,551.0
114,2316,楠梓電,1102.0,518.0,579.0
107,2323,中環,1368.0,,558.0
108,2323,中環,1278.0,485.0,528.0
109,2323,中環,974.0,550.0,641.0
110,2323,中環,691.0,562.0,600.0
111,2323,中環,669.0,576.0,597.0
112,2323,中環,597.0,544.0,623.0
113,2323,中環,529.0,581.0,628.0
114,2323,中環,468.0,612.0,687.0
107,2324,仁寶,6210.0,,1265.0
108,2324,仁寶,6915.0,1079.0,1245.0
109,2324,仁寶,7991.0,1026.0,1204.0
110,2324,仁寶,8214.0,1059.0,1250.0
111,2324,仁寶,8145.0,1180.0,1352.0
112,2324,仁寶,8231.0,1255.0,1402.0
113,2324,仁寶,8131.0,1348.0,1467.0
114,2324,仁寶,7526.0,1418.0,1592.0
107,2327,國巨*,3345.0,,860.0
108,2327,國巨*,3122.0,502.0,618.0
109,2327,國巨*,3305.0,554.0,712.0
110,2327,國巨,3879.0,637.0,747.0
111,2327,國巨,3937.0,642.0,740.0
112,2327,國巨,3815.0,629.0,745.0
113,2327,國巨,3571.0,672.0,773.0
114,2327,國巨*,3652.0,754.0,877.0
107,2328,廣宇,52.0,,1494.0
108,2328,廣宇,36.0,1420.0,1388.0
109,2328,廣宇,32.0,1229.0,1333.0
110,2328,廣宇,36.0,1185.0,1244.0
111,2328,廣宇,40.0,1264.0,1370.0
112,2328,廣宇,38.0,1353.0,1569.0
113,2328,廣宇,41.0,1244.0,1422.0
114,2328,廣宇,46.0,1255.0,1318.0
107,2329,華泰,5265.0,,467.0
108,2329,華泰,5442.0,457.0,522.0
109,2329,華泰,5044.0,424.0,488.0
110,2329,華泰,4591.0,573.0,666.0
111,2329,華泰,4680.0,620.0,702.0
112,2329,華泰,4548.0,642.0,731.0
113,2329,華泰,4415.0,624.0,705.0
114,2329,華泰,4483.0,709.0,811.0
107,2330,台積電,42605.0,,2009.0
108,2330,台積電,43430.0,1596.0,1981.0
109,2330,台積電,47314.0,1819.0,2377.0
110,2330,台積電,53212.0,1851.0,2425.0
111,2330,台積電,60049.0,2435.0,3167.0
112,2330,台積電,64614.0,2248.0,2842.0
113,2330,台積電,68647.0,2645.0,3391.0
114,2330,台積電,74988.0,3162.0,4072.0
107,2331,精英,800.0,,917.0
108,2331,精英,742.0,763.0,953.0
109,2331,精英,793.0,755.0,964.0
110,2331,精英,793.0,788.0,967.0
111,2331,精英,683.0,1044.0,1271.0
112,2331,精英,625.0,1120.0,1307.0
113,2331,精英,557.0,981.0,1114.0
114,2331,精英,433.0,1248.0,1407.0
107,2337,旺宏,3802.0,,1448.0
108,2337,旺宏,3783.0,985.0,1264.0
109,2337,旺宏,3666.0,1093.0,1424.0
110,2337,旺宏,3590.0,1388.0,1834.0
111,2337,旺宏,3608.0,1281.0,1729.0
112,2337,旺宏,3579.0,1173.0,1382.0
113,2337,旺宏,3482.0,1199.0,1420.0
114,2337,旺宏,3385.0,1152.0,1382.0
107,2338,光罩,187.0,,772.0
108,2338,光罩,203.0,796.0,922.0
109,2338,光罩,216.0,853.0,980.0
110,2338,光罩,268.0,1076.0,1282.0
111,2338,光罩,305.0,936.0,1111.0
112,2338,光罩,377.0,849.0,995.0
113,2338,光罩,436.0,710.0,830.0
114,2338,光罩,423.0,721.0,836.0
107,2340,台亞,1294.0,,696.0
108,2340,台亞,1265.0,592.0,699.0
109,2340,台亞,1195.0,648.0,756.0
110,2340,台亞,916.0,839.0,1014.0
111,2340,台亞,740.0,693.0,806.0
112,2340,台亞,773.0,711.0,820.0
113,2340,台亞,755.0,700.0,790.0
114,2340,台亞,729.0,720.0,809.0
107,2342,茂矽,564.0,,797.0
108,2342,茂矽,591.0,617.0,702.0
109,2342,茂矽,571.0,671.0,758.0
110,2342,茂矽,568.0,707.0,823.0
111,2342,茂矽,554.0,858.0,963.0
112,2342,茂矽,578.0,715.0,808.0
113,2342,茂矽,569.0,760.0,860.0
114,2342,茂矽,594.0,781.0,890.0
107,2344,華邦電,2631.0,,1754.0
108,2344,華邦電,2808.0,1193.0,1351.0
109,2344,華邦電,2826.0,1225.0,1423.0
110,2344,華邦電,2831.0,1858.0,2332.0
111,2344,華邦電,3312.0,1580.0,1926.0
112,2344,華邦電,3488.0,1382.0,1589.0
113,2344,華邦電,3422.0,1513.0,1726.0
114,2344,華邦電,3414.0,1617.0,1914.0
107,2349,錸德,1013.0,,577.0
108,2349,錸德,867.0,500.0,593.0
109,2349,錸德,729.0,499.0,611.0
110,2349,錸德,615.0,566.0,651.0
111,2349,錸德,534.0,578.0,670.0
112,2349,錸德,546.0,541.0,665.0
113,2349,錸德,565.0,549.0,697.0
114,2349,錸德,577.0,562.0,705.0
107,2351,順德,1320.0,,677.0
108,2351,順德,1371.0,517.0,597.0
109,2351,順德,1340.0,549.0,600.0
110,2351,順德,1391.0,608.0,717.0
111,2351,順德,1452.0,601.0,726.0
112,2351,順德,1435.0,593.0,692.0
113,2351,順德,1348.0,608.0,706.0
114,2351,順德,1327.0,614.0,690.0
